Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.001     0.001     0.000     0.000     1364   Fixnum#<
  0.00      0.001     0.001     0.000     0.000       18   Regexp#match
  0.00      0.003     0.001     0.000     0.001       25   Array#delete_if
  0.00      0.010     0.001     0.000     0.008      163   Struct#hash
  0.00      0.056     0.001     0.000     0.055      200   BinData::PrimitiveArgProcessor#sanitize_parameters!
  0.00      0.002     0.001     0.000     0.000      265   BinData::Registry#warn_if_name_is_already_registered
  0.00      0.003     0.001     0.000     0.002       89   Array#reject
  0.00      0.002     0.001     0.000     0.001      260   URI::Generic#default_port
  0.00      0.002     0.001     0.000     0.001      434   Bundler::StubSpecification#_remote_specification
  0.00      0.010     0.001     0.000     0.009       87   Forwardable#def_instance_delegator
  0.00      0.001     0.001     0.000     0.000     1328   String#===
  0.00      0.002     0.001     0.000     0.001      169   URI::Generic#set_userinfo
  0.00      0.001     0.001     0.000     0.000      666   <Class::File>#directory?
  0.00      0.017     0.001     0.000     0.016      398   Bundler::Source::Rubygems#eql?
  0.00      0.001     0.001     0.000     0.000        1   #<Module:0x00000001c195c0>#config
  0.00      0.008     0.001     0.000     0.007      260   Enumerable#inject
  0.00      0.003     0.001     0.000     0.002      140   Pathname#chop_basename
  0.00      0.013     0.001     0.000     0.012      163   Bundler::Source::Rubygems#suppress_configured_credentials
  0.00      0.001     0.001     0.000     0.000      388   Bundler::DepProxy#initialize
  0.00      0.028     0.001     0.000     0.027      113   <Class::BinData::Record>#inherited
  0.00      0.001     0.001     0.000     0.000      259   Hash#initialize_copy
  0.00      0.002     0.001     0.000     0.001      336   Array#any?
  0.00      0.001     0.001     0.000     0.000     1101   BasicObject#==
  0.00      0.004     0.001     0.000     0.003       19   Bundler::Dsl#normalize_options
  0.00      0.029     0.001     0.000     0.028      102  *Bundler::Index#search
  0.00      0.003     0.001     0.000     0.002      181   BinData::AcceptedParametersPlugin::AcceptedParameters#optional
  0.00      0.003     0.001     0.000     0.002      293   BinData::StructArgProcessor#sanitize_hide
  0.00      0.001     0.001     0.000     0.000      264   <Class::Gem::Version>#new
  0.00      0.005     0.001     0.000     0.004       78   BinData::StringArgProcessor#sanitize_parameters!
  0.00      0.046     0.001     0.000     0.045       82   Bundler::LazySpecification#to_lock
